Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
151170151;04/27/2015;12:30 PM;4.0;AGGRAVATED ASSAULT;;;;6200 N SHERMAN BL
151170182;04/27/2015;05:58 PM;5.0;ROBBERY;;;;2110 W CAPITOL DR
151150129;04/26/2015;02:57 AM;5.0;AGGRAVATED ASSAULT;;;;4057 N GREEN BAY AV
151150129;04/26/2015;09:05 PM;;HOMICIDE;;;;4057 N GREEN BAY AV
151160010;04/26/2015;12:36 AM;7.0;ROBBERY;;;;4700 W HAMPTON AV
151160015;04/26/2015;01:31 AM;4.0;ROBBERY;;;;7233 N 38TH ST #12
151160030;04/26/2015;05:05 AM;4.0;SIMPLE ASSAULT;;;;5460-B N 41ST ST
151160034;04/26/2015;05:24 AM;4.0;AGGRAVATED ASSAULT;;;;5308 N 29TH ST #1
151160040;04/26/2015;06:54 AM;4.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;4224 W VILLARD AV #2
151160046;04/26/2015;09:05 AM;5.0;ROBBERY;;;;4371 N TEUTONIA AV #1
151160063;04/26/2015;11:40 AM;4.0;ROBBERY;;;;5911 N 35TH ST #UPR
151160064;04/26/2015;12:59 PM;7.0;MOTOR VEHICLE THEFT;;;;4933 N TEUTONIA AV
151160067;04/26/2015;01:11 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5150 N 19TH ST
151160071;04/26/2015;12:43 PM;5.0;SIMPLE ASSAULT;;;;4765 N 32ND ST #216
151160076;04/26/2015;01:46 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3707 W GOOD HOPE RD
151160084;04/26/2015;03:35 PM;4.0;MOTOR VEHICLE THEFT;;;;2830 W BOBOLINK AV
151160127;04/26/2015;07:55 PM;7.0;AGGRAVATED ASSAULT;;;;4121 W EGGERT PL
151160151;04/26/2015;11:31 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4519 N 28TH ST
151150014;04/25/2015;01:32 AM;5.0;ALL OTHER LARCENY;MOTOR VEHICLE THEFT;;;2022 W ROOSEVELT DR
151150024;04/25/2015;03:27 AM;7.0;AGGRAVATED ASSAULT;;;;3118 W FAIRMOUNT AV
151150033;04/25/2015;07:40 AM;4.0;MOTOR VEHICLE THEFT;;;;3803 W ROCHELLE AV
151150039;04/25/2015;09:33 AM;4.0;MOTOR VEHICLE THEFT;;;;3737 W CHEYENNE ST
151150045;04/25/2015;10:17 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3524 W VILLARD AV
151150060;04/25/2015;11:50 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4231 N 27TH ST
151150097;04/25/2015;04:53 PM;4.0;AGGRAVATED ASSAULT;;;;5333 N 38TH ST
151150102;04/25/2015;05:08 PM;7.0;AGGRAVATED ASSAULT;;;;3709 W VILLARD AV
151150127;04/25/2015;08:41 PM;7.0;ARSON;;;;4902 N 22ND ST
151160004;04/25/2015;09:27 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;4400 N 26TH ST
151140017;04/24/2015;04:07 AM;4.0;SIMPLE ASSAULT;;;;6925 N 37TH ST #1
151140051;04/24/2015;11:55 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4562 W WOOLWORTH AV
151140085;04/24/2015;02:03 PM;5.0;THEFT FROM BUILDING;;;;1801 W OLIVE ST
151140120;04/24/2015;06:37 PM;4.0;ROBBERY;;;;5919 N TEUTONIA AV
151140127;04/24/2015;07:26 PM;4.0;SIMPLE ASSAULT;;;;3737 W CHEYENNE ST #4
151140130;04/24/2015;07:37 PM;7.0;AGGRAVATED ASSAULT;;;;5175 N TEUTONIA AV #1
151140148;04/24/2015;09:45 PM;4.0;INTIMIDATION;;;;7009 N 43RD ST #2
151150013;04/24/2015;10:51 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4653 N 27TH ST
151130072;04/23/2015;01:34 PM;5.0;AGGRAVATED ASSAULT;;;;4001 N TEUTONIA AV
151130137;04/23/2015;05:40 PM;4.0;ALL OTHER LARCENY;;;;5414 N 41ST ST
151130169;04/23/2015;09:26 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;2724 W ORIOLE DR
151120006;04/22/2015;12:16 AM;4.0;AGGRAVATED ASSAULT;;;;6925 N 37TH ST #2
151120087;04/22/2015;11:18 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2601 W HAMPTON AV
151120091;04/22/2015;02:40 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4172 N 14TH ST
151110010;04/21/2015;03:29 AM;4.0;INTIMIDATION;;;;5436 N 38TH ST #LWR
151110011;04/21/2015;02:19 AM;5.0;SIMPLE ASSAULT;;;;4201 N 27TH ST
151110038;04/21/2015;08:35 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4149 N 21ST ST
151110102;04/21/2015;04:27 PM;4.0;MOTOR VEHICLE THEFT;;;;4006 W GOOD HOPE RD
151110131;04/21/2015;05:24 PM;7.0;MOTOR VEHICLE THEFT;;;;4800 N 25TH ST
151110145;04/21/2015;06:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5260 N 36TH ST
151110158;04/21/2015;05:12 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3731 W FLORIST AV
151110159;04/21/2015;07:50 PM;5.0;MOTOR VEHICLE THEFT;;;;4248 N 15TH ST
151110171;04/21/2015;08:35 PM;4.0;ROBBERY;;;;6000 N TEUTONIA AV
151100051;04/20/2015;08:26 AM;4.0;AGGRAVATED ASSAULT;;;;5704 N 38TH ST
151100054;04/20/2015;10:29 AM;7.0;INTIMIDATION;;;;5173 N 35TH ST
151100110;04/20/2015;03:10 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3002 W SILVER SPRING DR
151100140;04/20/2015;06:26 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4164 N 21ST ST
151100167;04/20/2015;08:39 PM;4.0;ROBBERY;;;;3432 W SILVER SPRING DR
151080142;04/19/2015;12:14 AM;7.0;ARSON;;;;4870 N TEUTONIA AV
151090065;04/19/2015;09:17 AM;5.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;1500 W CORNELL ST
151090075;04/19/2015;12:18 PM;5.0;AGGRAVATED ASSAULT;;;;4061 N 17TH ST
151090083;04/19/2015;01:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;7343 N TEUTONIA AV
151090101;04/19/2015;03:55 PM;5.0;SIMPLE ASSAULT;;;;4133 N 26TH ST
151080046;04/18/2015;07:55 AM;4.0;AGGRAVATED ASSAULT;;;;4900 N GREEN BAY RD
151080056;04/18/2015;10:26 AM;5.0;MOTOR VEHICLE THEFT;;;;4469 N 27TH ST
151080062;04/18/2015;09:46 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;6177 N 39TH ST
151080074;04/18/2015;12:28 PM;5.0;INTIMIDATION;;;;2061 W ATKINSON AV #302
151080082;04/18/2015;12:51 PM;7.0;SIMPLE ASSAULT;;;;5168 N 35TH ST #14
151080116;04/18/2015;05:46 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2610 W VICTORY LA
151080131;04/18/2015;08:40 PM;7.0;ROBBERY;;;;4808 N HOPKINS ST
151080134;04/18/2015;08:46 PM;4.0;ROBBERY;;;;6001 N TEUTONIA AV
151080137;04/18/2015;09:04 PM;4.0;ROBBERY;;;;5853 N TEUTONIA AV
151070007;04/17/2015;12:58 AM;7.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;5039 N 28TH ST #LWR
151070019;04/17/2015;02:26 AM;5.0;ARSON;;;;4248 N 25TH ST
151070045;04/17/2015;08:39 AM;7.0;SIMPLE ASSAULT;;;;4931 N 47TH ST
151070046;04/17/2015;07:27 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5304 N 36TH ST
151070095;04/17/2015;12:58 PM;7.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5112 N 32ND ST
151070125;04/17/2015;03:55 PM;4.0;SIMPLE ASSAULT;;;;3009 W CARMEN AV
151070157;04/17/2015;06:32 PM;4.0;ROBBERY;;;;5372 N 34TH ST
151070198;04/17/2015;08:57 PM;4.0;AGGRAVATED ASSAULT;;;;5550-B N 35TH ST
151060066;04/16/2015;11:06 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6151-A N 35TH ST
151060117;04/16/2015;06:40 PM;7.0;MOTOR VEHICLE THEFT;;;;4712 N 19TH PL
151060160;04/16/2015;10:56 PM;5.0;MOTOR VEHICLE THEFT;;;;4142 N 10TH ST
151050012;04/15/2015;02:57 AM;4.0;SIMPLE ASSAULT;;;;3924 W GOOD HOPE RD
151050046;04/15/2015;10:55 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;7835 N GREEN BAY RD
151050056;04/15/2015;11:28 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;7835 N GREEN BAY RD
151050112;04/15/2015;03:51 PM;4.0;AGGRAVATED ASSAULT;;;;5300 N SHERMAN BL
151050121;04/15/2015;05:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4259 N 27TH ST
151050152;04/15/2015;07:31 PM;4.0;MOTOR VEHICLE THEFT;;;;5829 N 36TH ST
151050155;04/15/2015;07:29 PM;5.0;INTIMIDATION;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2061 W ATKINSON AV #206
151050168;04/15/2015;08:23 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5371 N 35TH ST
151050170;04/15/2015;09:20 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4861 N 46TH ST
151050179;04/15/2015;09:13 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4028 W LANCASTER AV #2
151040010;04/14/2015;12:43 AM;7.0;AGGRAVATED ASSAULT;;;;4945 N 39TH ST #16
151040021;04/14/2015;02:16 AM;7.0;AGGRAVATED ASSAULT;;;;4831 N 19TH ST
151040117;04/14/2015;04:15 PM;7.0;MOTOR VEHICLE THEFT;;;;4502 W HAMPTON AV
151040121;04/14/2015;04:24 PM;4.0;MOTOR VEHICLE THEFT;;;;5519 N 33RD ST
151040171;04/14/2015;09:25 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;6866 N 41ST ST
151040175;04/14/2015;08:47 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;7136 N 37TH ST
151050005;04/14/2015;11:40 PM;7.0;SIMPLE ASSAULT;;;;3526 W HAMPTON AV
151030066;04/13/2015;12:04 PM;4.0;MOTOR VEHICLE THEFT;;;;6915 N 41ST ST
151030070;04/13/2015;11:19 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5219 W VILLARD AV
151030072;04/13/2015;12:38 PM;7.0;MOTOR VEHICLE THEFT;;;;5140 N 32ND ST
151030097;04/13/2015;01:28 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4908 N 21ST ST
151030106;04/13/2015;02:44 PM;4.0;MOTOR VEHICLE THEFT;;;;5355 N 25TH ST
151030117;04/13/2015;03:13 PM;4.0;ROBBERY;;;;7171 N TEUTONIA AV
151030130;04/13/2015;10:00 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5256 N 34TH ST
151030178;04/13/2015;03:42 PM;5.0;THEFT FROM BUILDING;;;;4041 N 12TH ST
151030191;04/13/2015;08:50 PM;;HOMICIDE;;;;4965 N HOPKINS ST
151030191;04/13/2015;08:52 PM;7.0;AGGRAVATED ASSAULT;;;;4965 N HOPKINS ST
151030211;04/13/2015;10:06 PM;5.0;AGGRAVATED ASSAULT;;;;4428 N 25TH ST
151030216;04/13/2015;11:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4231 W MONROVIA WA
151040011;04/13/2015;11:17 PM;7.0;AGGRAVATED ASSAULT;;;;4871 N 21ST ST
151020031;04/12/2015;03:30 AM;4.0;AGGRAVATED ASSAULT;;;;4033 W CUSTER AV
151020035;04/12/2015;03:40 AM;4.0;SIMPLE ASSAULT;;;;1805-B W CUSTER AV
151020087;04/12/2015;03:55 PM;4.0;SIMPLE ASSAULT;;;;2938 W CARMEN AV
151020091;04/12/2015;03:09 PM;4.0;AGGRAVATED ASSAULT;;;;3507 W KILEY AV #2
151020098;04/12/2015;02:55 PM;4.0;MOTOR VEHICLE THEFT;;;;6146 N 40TH ST
151020119;04/12/2015;05:50 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4940 N 44TH ST
151020130;04/12/2015;04:33 PM;4.0;ALL OTHER LARCENY;;;;6012 N 37TH ST
151020152;04/12/2015;10:53 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5040 N 23RD ST
151030002;04/12/2015;11:37 PM;5.0;AGGRAVATED ASSAULT;;;;4129 N 20TH ST
151030005;04/12/2015;11:22 PM;7.0;AGGRAVATED ASSAULT;;;;4819 N MOTHER DANIELS WA
151010015;04/11/2015;02:41 AM;4.0;SIMPLE ASSAULT;;;;5729 N 40TH ST
151010072;04/11/2015;01:21 PM;5.0;ALL OTHER LARCENY;;;;2700 W CAPITOL DR
151010077;04/11/2015;06:28 PM;5.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;4481-A N TEUTONIA AV
151010088;04/11/2015;03:38 PM;4.0;SHOPLIFTING;;;;6201 N TEUTONIA AV
151010092;04/11/2015;04:35 PM;4.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3700 W VILLARD AV
151010118;04/11/2015;07:21 PM;4.0;MOTOR VEHICLE THEFT;;;;5506 N 37TH ST
151010121;04/11/2015;08:40 PM;7.0;ALL OTHER LARCENY;;;;5100 N TEUTONIA AV
151010144;04/11/2015;09:25 PM;7.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;4624 N PARKWAY AV
151000004;04/10/2015;12:02 AM;7.0;AGGRAVATED ASSAULT;;;;4869 N 52ND ST
151000031;04/10/2015;08:13 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5311 N 33RD ST
151000035;04/10/2015;09:23 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;3700 W DOUGLAS AV
151000042;04/10/2015;09:45 AM;5.0;MOTOR VEHICLE THEFT;;;;4145 N GREEN BAY AV
151000067;04/10/2015;12:58 PM;7.0;MOTOR VEHICLE THEFT;;;;5011 W VILLARD AV
151000071;04/10/2015;12:14 PM;5.0;AGGRAVATED ASSAULT;;;;4765 N 32ND ST #319
151000072;04/10/2015;12:33 PM;5.0;ROBBERY;;;;4000 N 12TH ST
151000075;04/10/2015;01:29 PM;4.0;THEFT FROM BUILDING;;;;6073 N TEUTONIA AV
151000080;04/10/2015;12:24 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5206 N HOPKINS ST
151000086;04/10/2015;12:24 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;4010 W VILLARD AV
151000129;04/10/2015;08:50 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;2700 W CAPITOL DR
151000134;04/10/2015;08:38 PM;7.0;SIMPLE ASSAULT;;;;5135-B N 31ST ST
151000147;04/10/2015;09:23 PM;7.0;SIMPLE ASSAULT;;;;3118 W FAIRMOUNT AV
150990023;04/09/2015;03:03 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;3425 W SILVER SPRING DR
150990074;04/09/2015;01:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4654 N 18TH ST
150990093;04/09/2015;02:17 PM;7.0;AGGRAVATED ASSAULT;;;;4868 N 19TH PL
150980006;04/08/2015;12:54 AM;7.0;ROBBERY;;;;4825 N HOPKINS ST
150980025;04/08/2015;06:36 AM;4.0;MOTOR VEHICLE THEFT;;;;6028 N 35TH ST
150980036;04/08/2015;08:16 AM;7.0;AGGRAVATED ASSAULT;;;;4818 W HAMPTON AV #UPR
150980038;04/08/2015;09:15 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4120 N 27TH ST
150980108;04/08/2015;03:12 PM;5.0;MOTOR VEHICLE THEFT;;;;1300 W CAPITOL DR
150980115;04/08/2015;04:00 PM;7.0;ALL OTHER LARCENY;;;;4909 N HOPKINS ST
150980169;04/08/2015;07:29 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6972 N 37TH ST
150980191;04/08/2015;10:49 PM;4.0;ALL OTHER LARCENY;;;;5630 N 35TH ST
150980195;04/08/2015;09:47 PM;5.0;AGGRAVATED ASSAULT;;;;4505 N 29TH ST #102
150970116;04/07/2015;01:25 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4754 N PARKWAY AV
151120063;04/07/2015;10:00 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;4030 W DOUGLAS AV
150950094;04/06/2015;07:00 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4974 N 21ST ST
150960030;04/06/2015;04:56 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4351 N TEUTONIA AV
150960051;04/06/2015;07:19 AM;4.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;3505 W KIEHNAU AV
150960051;04/06/2015;07:19 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3505 W KIEHNAU AV
150960061;04/06/2015;09:25 AM;4.0;SIMPLE ASSAULT;;;;3500 W VILLARD AV
150960081;04/06/2015;09:25 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2826 W SILVER SPRING DR
150960102;04/06/2015;01:13 PM;5.0;AGGRAVATED ASSAULT;;;;4224 N 22ND ST
150960106;04/06/2015;02:34 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4609 N TEUTONIA AV
150960127;04/06/2015;04:37 PM;4.0;ALL OTHER LARCENY;;;;5634 N 37TH ST
150960128;04/06/2015;09:32 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5222 N 38TH ST
150960131;04/06/2015;05:12 PM;4.0;THEFT FROM BUILDING;;;;3120 W VILLARD AV
150960146;04/06/2015;10:21 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3514 W GOOD HOPE RD
150960170;04/06/2015;06:31 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6263 N TEUTONIA AV
150960176;04/06/2015;05:48 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6048 N HOPKINS ST
150950003;04/05/2015;12:20 AM;7.0;AGGRAVATED ASSAULT;;;;5074 N 51ST BL
150950045;04/05/2015;10:19 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2727 W ROOSEVELT DR
150950053;04/05/2015;09:08 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4736 W EGGERT PL #1
150950054;04/05/2015;08:23 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3514 W GOOD HOPE RD
150950066;04/05/2015;10:39 AM;7.0;SIMPLE ASSAULT;;;;5168 N 35TH ST #15
150950109;04/05/2015;08:45 PM;4.0;SHOPLIFTING;;;;6071 N TEUTONIA AV
150940023;04/04/2015;04:50 AM;7.0;AGGRAVATED ASSAULT;;;;4401 W VILLARD AV
150940025;04/04/2015;04:57 AM;5.0;SIMPLE ASSAULT;;;;4126 N TEUTONIA AV
150940028;04/04/2015;07:16 AM;4.0;AGGRAVATED ASSAULT;;;;6032 N 39TH ST
150940041;04/04/2015;10:19 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4415 N 25TH ST
150940065;04/04/2015;01:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4457 N 29TH ST
150940069;04/04/2015;01:38 PM;5.0;MOTOR VEHICLE THEFT;;;;4730 N TEUTONIA AV
150940082;04/04/2015;02:41 PM;5.0;AGGRAVATED ASSAULT;;;;4022 N 27TH ST
150940086;04/04/2015;02:54 PM;4.0;AGGRAVATED ASSAULT;;;;7245 N TEUTONIA AV
150940134;04/04/2015;08:54 PM;4.0;ROBBERY;;;;1935 W SILVER SPRING DR
150940143;04/04/2015;10:48 PM;4.0;MOTOR VEHICLE THEFT;;;;5436 N 38TH ST
150930011;04/03/2015;12:49 AM;7.0;ROBBERY;;;;5071 N 35TH ST
150930022;04/03/2015;02:49 AM;4.0;ROBBERY;;;;2908 W VILLARD AV
150930070;04/03/2015;11:57 AM;5.0;THEFT FROM BUILDING;;;;4132 N 24TH PL
150930098;04/03/2015;02:01 PM;5.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4721 N 28TH ST
150930100;04/03/2015;12:40 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;5036 N 24TH ST
150930142;04/03/2015;06:19 PM;4.0;ALL OTHER LARCENY;;;;6058 N 40TH ST
150930144;04/03/2015;05:56 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3910 W ROCHELLE AV
150920010;04/02/2015;01:09 AM;5.0;SIMPLE ASSAULT;;;;4136 N 14TH ST
150920055;04/02/2015;10:11 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;3112 W GLENDALE AV #4
150920057;04/02/2015;10:34 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3707 W HELENA ST
150920081;04/02/2015;12:56 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;1956 W CONGRESS ST
150920091;04/02/2015;05:09 PM;4.0;ROBBERY;;;;3030 W VILLARD AV
150910020;04/01/2015;08:36 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3501 W MOTHER DANIELS WA
150910031;04/01/2015;10:25 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5318 N 26TH ST
150910047;04/01/2015;11:48 AM;7.0;ALL OTHER LARCENY;;;;1824 W COURTLAND AV
150910053;04/01/2015;12:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4848 N 36TH ST
150910056;04/01/2015;12:23 PM;7.0;ALL OTHER LARCENY;;;;4938 W HAMPTON AV
150910060;04/01/2015;11:53 AM;7.0;SIMPLE ASSAULT;;;;1818 W FAIRMOUNT AV
150910080;04/01/2015;03:18 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1900 W HAMPTON AV
150910085;04/01/2015;04:03 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1900 W HAMPTON AV
150910104;04/01/2015;05:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3501 W MOTHER DANIELS WA
150910122;04/01/2015;06:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4800 N TEUTONIA AV
150910133;04/01/2015;07:12 PM;7.0;SIMPLE ASSAULT;;;;5220 W FAIRMOUNT AV
150910138;04/01/2015;07:29 PM;4.0;SIMPLE ASSAULT;;;;5549 N 35TH ST
150910158;04/01/2015;09:43 PM;7.0;AGGRAVATED ASSAULT;;;;4945 N 39TH ST #11
150920003;04/01/2015;11:49 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;5928 N 37TH ST #UPPR
151200039;04/30/2015;09:51 AM;3.0;ALL OTHER LARCENY;;;;2116 N 56TH ST
151200047;04/30/2015;11:05 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;164 S 66TH ST
151200055;04/30/2015;10:58 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;3848 N 68TH ST
151180034;04/29/2015;08:30 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2862 N 53RD ST
